#OTU ID	LG10	LG1	LG3	LG6	LG8	LP10	LP1	LP3	LP6	LP8
Zotu1	11495	0	4199	5462	13851	195	3	134	67199	153
Zotu10	6775	0	2470	8277	5349	13	208	4	2004	43
Zotu100	54	0	0	59	330	350	0	0	27	175
Zotu1000	0	0	0	0	0	0	0	0	49	0
Zotu1001	0	0	0	79	0	0	0	0	0	0
Zotu1002	108	202	104	17	39	71	46	55	15	5
Zotu1003	58	0	0	0	6	0	0	0	0	0
Zotu1004	2	0	47	1	0	0	0	0	0	0
Zotu1005	27	0	0	0	47	0	0	0	0	0
Zotu1006	0	0	5	0	0	0	0	0	45	0
Zotu1007	80	0	6	23	21	0	1	1	0	0
Zotu1008	0	0	0	64	0	0	0	0	0	0
Zotu1009	0	37	0	0	0	0	0	0	0	0
Zotu101	2	0	1	69	5	0	0	0	0	0
Zotu1010	35	0	0	0	24	0	0	0	0	2
Zotu1011	30	0	0	0	20	7	0	0	0	4
Zotu1012	0	0	0	0	0	71	0	0	0	2
Zotu1013	0	78	0	0	22	1	0	0	0	0
Zotu1014	0	0	0	0	0	0	0	0	0	0
Zotu1015	3	0	0	0	0	5	0	0	0	4
Zotu1016	0	0	0	0	0	0	0	0	0	0
Zotu1017	0	0	0	0	0	0	0	78	0	0
Zotu1018	0	0	0	34	0	0	0	0	0	0
Zotu1019	0	0	49	0	9	0	0	0	0	0
Zotu102	0	0	937	0	1	0	606	434	504	0
Zotu1020	7	0	0	19	30	0	0	0	0	0
Zotu1021	0	0	75	0	0	0	0	0	0	0
Zotu1022	26	0	0	14	23	0	0	0	0	0
Zotu1023	11	0	0	0	7	0	0	0	0	0
Zotu1024	3	0	0	0	2	0	0	0	0	0
Zotu1025	0	53	0	0	0	0	0	0	0	0
Zotu1026	0	0	0	16	0	0	0	0	0	0
Zotu1027	0	0	6	0	0	3	0	44	0	0
Zotu1028	1	0	0	0	0	0	0	0	0	0
Zotu1029	0	0	0	0	0	9	0	0	0	26
Zotu103	896	0	0	175	229	12	114	0	36	2
Zotu1030	0	0	0	0	0	0	0	0	0	0
Zotu1031	25	0	0	9	15	0	0	0	0	0
Zotu1032	1	0	5	41	1	0	0	0	0	0
Zotu1033	23	0	0	0	9	3	0	0	0	7
Zotu1034	0	0	0	45	0	0	0	0	0	0
Zotu1035	0	0	0	0	0	0	0	0	64	0
Zotu1036	27	0	0	0	15	0	0	0	0	0
Zotu1037	0	0	0	46	0	1	0	0	0	0
Zotu1038	0	58	0	0	0	0	0	0	0	0
Zotu1039	2	0	3	1	1	0	0	0	0	0
Zotu104	21	0	0	0	0	0	0	0	0	0
Zotu1040	11	0	0	8	21	0	0	0	0	1
Zotu1041	0	0	70	0	0	0	0	0	0	0
Zotu1042	5	0	0	0	12	0	0	83	0	0
Zotu1043	21	0	0	0	25	0	0	0	0	0
Zotu1044	0	0	0	0	0	34	0	0	0	32
Zotu1045	0	15	0	0	0	0	0	0	0	0
Zotu1046	0	0	72	0	0	0	0	0	0	0
Zotu1047	3	0	36	19	25	0	0	6	0	0
Zotu1048	0	0	0	0	0	0	0	0	0	0
Zotu1049	1	0	0	28	34	1	0	0	0	0
Zotu105	8	328	72	69	13	1	101	141	32	1
Zotu1050	0	0	0	54	0	0	0	0	0	0
Zotu1051	0	0	85	0	0	0	0	0	0	0
Zotu1052	0	0	1	25	2	0	173	112	2	0
Zotu1053	0	0	0	0	0	801	2	2	3	531
Zotu1054	0	49	0	0	6	0	0	0	0	0
Zotu1055	43	0	0	0	0	0	0	0	0	0
Zotu1056	14	0	0	10	49	7	0	0	0	8
Zotu1057	0	0	0	0	51	0	0	0	0	0
Zotu1058	0	0	0	0	0	0	0	0	52	0
Zotu1059	0	0	0	0	60	0	0	0	0	0
Zotu106	16	0	0	0	18	9	0	0	0	6
Zotu1060	0	0	0	18	0	0	0	0	0	0
Zotu1061	4	2	0	0	7	3	0	0	0	0
Zotu1062	29	0	0	0	0	0	0	0	0	0
Zotu1063	35	0	0	0	19	0	0	0	0	0
Zotu1064	0	0	13	27	0	0	0	0	0	0
Zotu1065	0	0	0	0	0	0	0	57	0	0
Zotu1066	0	0	0	0	0	0	0	0	0	0
Zotu1067	71	0	0	0	5	2	0	0	0	3
Zotu1068	0	81	0	0	0	0	0	0	0	0
Zotu1069	34	0	0	0	49	2	0	0	0	4
Zotu107	82	15	101	96	12	0	0	0	0	0
Zotu1070	35	0	0	0	14	0	0	0	0	0
Zotu1071	5	0	0	0	45	0	0	0	0	0
Zotu1072	0	0	0	0	0	0	0	0	0	0
Zotu1073	0	0	0	59	0	0	0	0	0	2
Zotu1074	4	0	0	0	45	6	0	0	0	13
Zotu1075	0	0	0	0	0	0	0	0	0	0
Zotu1076	0	0	0	81	0	0	0	0	0	0
Zotu1077	71	0	0	0	0	0	0	0	0	0
Zotu1078	11	0	0	23	62	7	0	0	0	2
Zotu1079	9	0	0	0	35	0	0	0	0	0
Zotu108	20	0	0	0	1	0	0	0	0	0
Zotu1080	0	0	0	0	0	0	0	43	0	0
Zotu1081	1	18	0	0	28	0	0	0	0	1
Zotu1082	13	0	0	30	4	0	0	0	0	0
Zotu1083	31	0	0	0	22	0	0	0	0	0
Zotu1084	0	0	0	66	0	0	0	0	0	0
Zotu1085	25	0	0	0	62	0	0	0	0	0
Zotu1086	18	0	0	10	34	0	0	0	0	0
Zotu1087	0	0	0	0	0	0	0	0	0	0
Zotu1088	0	0	0	0	0	0	0	0	0	0
Zotu1089	9	0	0	54	21	0	0	0	0	0
Zotu109	22	0	0	20	44	249	21	0	126	96
Zotu1090	31	0	0	0	19	0	0	0	0	0
Zotu1091	19	0	0	0	0	0	0	0	0	0
Zotu1092	0	0	0	0	0	0	0	48	0	0
Zotu1093	0	0	0	0	36	1	0	0	7	0
Zotu1094	0	0	0	0	0	38	0	0	1	34
Zotu1095	11	0	58	0	4	0	0	0	0	0
Zotu1096	11	3	9	9	0	0	1	1	0	0
Zotu1097	0	0	0	0	0	0	0	0	0	113
Zotu1098	0	0	0	0	0	54	0	0	0	6
Zotu1099	0	0	46	0	0	0	0	0	0	0
Zotu11	314	10245	1420	844	227	35	4162	1879	549	8
Zotu110	80	2	72	49	60	0	1	0	0	1
Zotu1100	0	0	56	0	0	0	0	0	0	0
Zotu1101	0	0	0	16	2	0	0	45	0	0
Zotu1102	2	0	0	0	4	47	0	0	0	5
Zotu1103	0	0	0	0	0	0	0	0	0	0
Zotu1104	0	0	0	0	0	0	0	0	0	0
Zotu1105	0	0	47	0	25	0	0	0	0	0
