#OTU ID	LG10	LG1	LG3	LG6	LG8	LP10	LP1	LP3	LP6	LP8
Zotu1	599	6092	3311	2188	701	44	33785	23798	1633	25
Zotu10	290	236	229	239	381	3	274	513	4189	4
Zotu100	0	0	0	0	0	8	0	0	0	5
Zotu1000	0	0	0	0	0	0	0	0	0	0
Zotu1001	2	20	19	0	0	0	38	44	0	0
Zotu1002	1	17	15	17	3	0	255	203	6	0
Zotu1003	0	0	0	0	0	0	0	0	0	0
Zotu1004	46	0	21	19	63	0	0	0	89	0
Zotu1005	7	26	13	32	4	0	87	66	10	0
Zotu1006	0	0	1	0	1	0	0	1	0	0
Zotu1007	0	0	0	0	0	99	0	0	0	3
Zotu1008	0	0	0	0	0	0	0	0	0	0
Zotu1009	0	0	0	0	0	1	0	0	0	0
Zotu101	19	151	197	31	21	0	33	148	8	1
Zotu1010	29	0	5	204	31	0	0	0	6	1
Zotu1011	0	0	0	0	0	0	0	0	0	0
Zotu1012	42	0	43	59	27	0	18	75	33	0
Zotu1013	0	0	0	0	0	142	0	0	0	12
Zotu1014	0	0	0	0	0	41	0	0	0	2
Zotu1015	0	0	0	0	0	71	0	0	0	17
Zotu1016	0	0	0	0	0	1	0	0	0	1
Zotu1017	19	0	24	5	18	1	0	0	2	5
Zotu1018	0	61	0	0	0	0	0	0	0	0
Zotu1019	0	0	0	0	0	22	0	0	0	0
Zotu102	0	0	0	0	0	3	0	0	0	0
Zotu1020	0	0	0	0	0	50	0	0	0	14
Zotu1021	0	0	0	0	0	0	0	0	0	0
Zotu1022	0	0	0	0	0	0	0	0	0	0
Zotu1023	41	0	1	74	27	0	0	0	1	0
Zotu1024	0	7	3	0	0	0	72	25	0	0
Zotu1025	0	36	43	3	3	0	1	0	1	0
Zotu1026	1	1	6	1	1	0	29	100	93	0
Zotu1027	1	41	0	1	1	0	54	45	19	0
Zotu1028	14	0	54	3	26	1	0	0	11	1
Zotu1029	5	61	81	29	3	0	47	3	2	0
Zotu103	4	337	354	3	0	0	0	0	0	0
Zotu1030	0	0	0	0	0	104	0	0	0	18
Zotu1031	0	0	0	0	0	127	0	0	0	11
Zotu1032	1	6	1	5	7	0	15	51	6	0
Zotu1033	0	0	0	0	0	0	0	0	0	0
Zotu1034	0	0	1	0	0	0	0	0	0	0
Zotu1035	22	0	0	4	21	16	0	0	0	6
Zotu1036	0	0	0	0	0	0	85	20	0	0
Zotu1037	0	0	0	0	1	0	0	0	0	0
Zotu1038	0	0	0	0	0	0	0	0	0	0
Zotu1039	0	0	0	0	0	1	0	0	0	0
Zotu104	162	0	90	48	206	12	0	0	87	3
Zotu1040	0	22	6	2	2	0	14	49	2	0
Zotu1041	0	0	0	0	0	0	0	0	0	0
Zotu1042	0	0	26	35	9	0	0	0	2	0
Zotu1043	0	0	0	0	0	1	0	0	0	0
Zotu1044	0	0	0	0	0	0	0	0	0	0
Zotu1045	1	9	5	11	10	0	1	4	41	0
Zotu1046	2	16	3	4	4	1	64	101	5	0
Zotu1047	18	0	0	1	31	11	0	0	0	0
Zotu1048	0	0	0	0	0	0	0	0	0	0
Zotu1049	0	0	0	0	0	0	0	0	0	0
Zotu105	0	0	122	12	4	0	0	0	643	1
Zotu1050	15	0	0	3	9	33	0	0	0	11
Zotu1051	6	1	122	19	3	0	0	0	0	0
Zotu1052	0	0	0	0	0	0	0	0	0	0
Zotu1053	1	15	10	2	2	0	73	58	8	0
Zotu1054	0	0	0	0	0	54	0	0	0	27
Zotu1055	0	0	0	0	0	0	0	0	0	0
Zotu1056	10	0	51	1	6	0	0	0	0	1
Zotu1057	92	0	5	69	66	0	1	3	60	0
Zotu1058	0	18	7	4	0	0	25	40	1	0
Zotu1059	0	0	0	0	0	0	0	0	0	0
Zotu106	0	0	0	0	0	14	0	0	3	559
Zotu1060	1	89	4	9	3	0	96	70	18	0
Zotu1061	0	0	0	0	0	0	0	0	0	0
Zotu1062	0	0	0	0	0	0	0	0	0	0
Zotu1063	0	0	1	0	0	0	0	0	0	0
Zotu1064	0	0	0	0	0	16	0	0	0	74
Zotu1065	4	48	2	4	6	0	39	45	22	0
Zotu1066	0	0	0	0	0	78	0	0	0	51
Zotu1067	0	0	0	0	0	1	0	0	0	0
Zotu1068	0	0	0	0	0	0	0	0	0	0
Zotu1069	3	5	37	0	0	1	0	1	0	0
Zotu107	0	0	0	0	0	0	0	0	0	0
Zotu1070	0	0	0	0	0	0	0	0	0	0
Zotu1071	0	0	0	0	2	46	0	0	0	5
Zotu1072	133	0	34	19	170	0	0	0	38	0
Zotu1073	0	4	0	0	0	0	55	0	0	0
Zotu1074	0	22	42	0	0	1	5	2	26	4
Zotu1075	0	0	0	0	0	67	0	0	0	0
Zotu1076	0	0	0	0	0	101	0	0	0	23
Zotu1077	0	0	1	0	0	4	0	0	0	10
