otu,phylum,class,order,family,genus,
Zotu1,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu10,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu100,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1000,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1001,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,
Zotu1002,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1003,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales_Incertae_Sedis,Candidatus_Competibacter,
Zotu1004,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1005,,,,,,
Zotu1006,Proteobacteria,Betaproteobacteria,,,,
Zotu1007,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,,
Zotu1008,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
Zotu1009,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group,
Zotu101,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group,
Zotu1010,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,
Zotu1011,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1012,Actinobacteria,Actinobacteria,PeM15,,,
Zotu1013,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,,
Zotu1014,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,,
Zotu1015,Lentisphaerae,PBS-III-20,,,,
Zotu1016,Bacteroidetes,BSV13,,,,
Zotu1017,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,,
Zotu1018,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pseudarcicella,
Zotu1019,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu102,Acetothermia,,,,,
Zotu1020,Caldiserica,Caldisericia,Caldisericales,WCHB1-02,,
Zotu1021,Proteobacteria,Gammaproteobacteria,,,,
Zotu1022,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1023,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1024,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1025,Actinobacteria,,,,,
Zotu1026,,,,,,
Zotu1027,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1028,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,
Zotu1029,Actinobacteria,,,,,
Zotu103,,,,,,
Zotu1030,Candidate_division_OP3,,,,,
Zotu1031,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1032,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1033,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,
Zotu1034,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,M20-Pitesti,,
Zotu1035,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
Zotu1036,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1037,Proteobacteria,Betaproteobacteria,,,,
Zotu1038,Chlorobi,Ignavibacteria,Ignavibacteriales,BSV26,,
Zotu1039,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,
Zotu104,Candidate_division_SR1,,,,,
Zotu1040,Chloroflexi,SL56_marine_group,,,,
Zotu1041,Proteobacteria,Deltaproteobacteria,Sva0485,,,
Zotu1042,Proteobacteria,Betaproteobacteria,,,,
Zotu1043,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1044,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,,
Zotu1045,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1046,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1047,,,,,,
Zotu1048,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1049,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,,
Zotu105,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1050,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,
Zotu1051,Actinobacteria,,,,,
Zotu1052,Aminicenantes,,,,,
Zotu1053,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1054,Candidate_division_OP3,,,,,
Zotu1055,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1056,Candidate_division_SR1,,,,,
Zotu1057,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1058,,,,,,
Zotu1059,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu106,Chlorobi,Ignavibacteria,Ignavibacteriales,BSV40,,
Zotu1060,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1061,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1062,Aminicenantes,,,,,
Zotu1063,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,
Zotu1064,Bacteroidetes,Bacteroidetes_BD2-2,,,,
Zotu1065,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1066,Bacteroidetes,,,,,
Zotu1067,,,,,,
Zotu1068,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2,
Zotu1069,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
Zotu107,Armatimonadetes,,,,,
Zotu1070,Proteobacteria,,,,,
Zotu1071,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1072,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1073,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Sphaerotilus,
Zotu1074,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Limnoluna,
Zotu1075,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,
Zotu1076,Actinobacteria,OPB41,,,,
Zotu1077,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,
Zotu1078,Chloroflexi,,,,,
Zotu1079,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2,
Zotu108,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1080,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1081,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,
Zotu1082,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,,
Zotu1083,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,,
Zotu1084,Proteobacteria,Deltaproteobacteria,Sva0485,,,
Zotu1085,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1086,Candidate_division_SR1,,,,,
Zotu1087,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,
Zotu1088,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1089,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
Zotu109,Chloroflexi,SHA-26,,,,
Zotu1090,Aminicenantes,,,,,
Zotu1091,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2,
Zotu1092,Lentisphaerae,WCHB1-41,,,,
Zotu1093,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1094,,,,,,
Zotu1095,Bacteroidetes,Bacteroidetes_BD2-2,,,,
Zotu1096,Microgenomates,,,,,
Zotu1097,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,
Zotu1098,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1099,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,,
Zotu11,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu110,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,
Zotu1100,,,,,,
Zotu1101,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1102,Aminicenantes,,,,,
Zotu1103,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,
Zotu1104,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1105,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
Zotu1106,GOUTA4,,,,,
Zotu1107,Bacteroidetes,,,,,
Zotu1108,Proteobacteria,Betaproteobacteria,SC-I-84,,,
Zotu1109,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,,
Zotu111,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,
Zotu1110,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
Zotu1111,Proteobacteria,Gammaproteobacteria,HOC36,,,
Zotu1112,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,
Zotu1113,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1114,,,,,,
Zotu1115,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1116,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1117,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1118,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1119,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,,
Zotu112,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
Zotu1120,,,,,,
Zotu1121,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1122,,,,,,
Zotu1123,Candidate_division_SR1,,,,,
Zotu1124,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1125,Nitrospirae,Nitrospira,Nitrospirales,Apr-29,,
Zotu1126,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1127,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
Zotu1128,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1129,Proteobacteria,Deltaproteobacteria,Sva0485,,,
Zotu113,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1130,Candidate_division_SR1,,,,,
Zotu1131,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
Zotu1132,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1133,Proteobacteria,Betaproteobacteria,,,,
Zotu1134,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1135,Proteobacteria,,,,,
Zotu1136,Bacteroidetes,SB-5,,,,
Zotu1137,Aminicenantes,,,,,
Zotu1138,Chloroflexi,SL56_marine_group,,,,
Zotu1139,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,,
Zotu114,Actinobacteria,Actinobacteria,,,,
Zotu1140,,,,,,
Zotu1141,Candidate_division_OP3,,,,,
Zotu1142,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1143,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1144,Bacteroidetes,BSV13,,,,
Zotu1145,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
Zotu1146,Proteobacteria,Deltaproteobacteria,Sva0485,,,
Zotu1147,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
Zotu1148,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales_Incertae_Sedis,Candidatus_Competibacter,
Zotu1149,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2,
Zotu115,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1150,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,
Zotu1151,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1152,Actinobacteria,,,,,
Zotu1153,Candidate_division_OP3,,,,,
Zotu1154,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1155,,,,,,
Zotu1156,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1157,,,,,,
Zotu1158,Proteobacteria,Gammaproteobacteria,HOC36,,,
Zotu1159,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,
Zotu116,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1160,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1161,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,,
Zotu1162,Lentisphaerae,WCHB1-41,,,,
Zotu1163,Armatimonadetes,,,,,
Zotu1164,Candidate_division_SR1,,,,,
Zotu1165,Proteobacteria,Deltaproteobacteria,Sva0485,,,
Zotu1166,,,,,,
Zotu1167,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,,
Zotu1168,TA06,,,,,
Zotu1169,Aminicenantes,,,,,
Zotu117,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,,
Zotu1170,Candidate_division_OP3,,,,,
Zotu1171,,,,,,
Zotu1172,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,
Zotu1173,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18_freshwater_group,,
Zotu1174,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
Zotu1175,Actinobacteria,Actinobacteria,PeM15,,,
Zotu1176,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1177,,,,,,
Zotu1178,Bacteroidetes,Bacteroidetes_vadinHA17,,,,
Zotu1179,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,
Zotu118,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Syntrophorhabdaceae,Syntrophorhabdus,
Zotu1180,Proteobacteria,,,,,
Zotu1181,Bacteroidetes,Bacteroidetes_BD2-2,,,,
Zotu1182,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
Zotu1183,Actinobacteria,,,,,
Zotu1184,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
Zotu1185,Proteobacteria,Gammaproteobacteria,,,,
Zotu1186,Proteobacteria,Betaproteobacteria,,,,
Zotu1187,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,GKS98_freshwater_group,
Zotu1188,Chloroflexi,,,,,
Zotu1189,Proteobacteria,Betaproteobacteria,SC-I-84,,,
Zotu119,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,
Zotu1190,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1191,Acidobacteria,Holophagae,Holophagales,Holophagaceae,,
Zotu1192,Candidate_division_SR1,,,,,
Zotu1193,Candidate_division_OP3,,,,,
Zotu1194,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1195,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,
Zotu1196,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
Zotu1197,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,
Zotu1198,Bacteroidetes,SB-5,,,,
Zotu1199,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,,
Zotu12,Actinobacteria,Actinobacteria,PeM15,,,
Zotu120,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,,
